image_file_name,shot_type,stance,bodyweight,ball_hit,ball_land
backhand-close-forward-ad back-body deep-7741.jpg,backhand,close,forward,ad back,body deep
backhand-close-forward-ad back-body deep-7807.jpg,backhand,close,forward,ad back,body deep
backhand-close-forward-ad back-body deep-7846.jpg,backhand,close,forward,ad back,body deep
backhand-close-forward-ad back-body deep-8196.jpg,backhand,close,forward,ad back,body deep
backhand-close-forward-ad back-body deep-8444.jpg,backhand,close,forward,ad back,body deep
backhand-close-forward-ad back-body deep-8567.jpg,backhand,close,forward,ad back,body deep
backhand-close-forward-ad back-body deep-8772.jpg,backhand,close,forward,ad back,body deep
backhand-close-forward-ad back-body deep-8847.jpg,backhand,close,forward,ad back,body deep
backhand-close-forward-ad back-body deep-9149.jpg,backhand,close,forward,ad back,body deep
backhand-close-forward-ad back-body deep-9363.jpg,backhand,close,forward,ad back,body deep
backhand-close-forward-ad back-body deep-9694.jpg,backhand,close,forward,ad back,body deep
backhand-close-forward-ad back-body deep-9717.jpg,backhand,close,forward,ad back,body deep
backhand-close-forward-ad back-deuce deep-1590.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-1629.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-1824.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-1907.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-1947.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-1958.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-2079.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-2112.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-2275.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-2321.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-2453.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-2669.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-2675.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-269.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-3019.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-3079.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-4208.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-506.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-5075.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-5156.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-5162.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-5407.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-5413.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-5747.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-5789.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-5833.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-6410.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-6430.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-6566.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-6712.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-6747.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-694.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-7159.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-7439.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-750.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-7692.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-7868.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-7930.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-8079.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-8418.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-8583.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-8607.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-8924.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-8935.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-9048.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-9059.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-9314.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-965.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-9827.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-ad back-deuce deep-9972.jpg,backhand,close,forward,ad back,deuce deep
backhand-close-forward-body back-body mid-1113.jpg,backhand,close,forward,body back,body mid
backhand-close-forward-body back-body mid-1450.jpg,backhand,close,forward,body back,body mid
backhand-close-forward-body back-body mid-216.jpg,backhand,close,forward,body back,body mid
backhand-close-forward-body back-body mid-3184.jpg,backhand,close,forward,body back,body mid
backhand-close-forward-body back-body mid-3700.jpg,backhand,close,forward,body back,body mid
backhand-close-forward-body back-body mid-4877.jpg,backhand,close,forward,body back,body mid
backhand-close-forward-body back-body mid-49.jpg,backhand,close,forward,body back,body mid
backhand-close-forward-body back-body mid-5542.jpg,backhand,close,forward,body back,body mid
backhand-close-forward-body back-body mid-6574.jpg,backhand,close,forward,body back,body mid
backhand-close-forward-body back-body mid-6703.jpg,backhand,close,forward,body back,body mid
backhand-close-forward-body back-body mid-775.jpg,backhand,close,forward,body back,body mid
backhand-close-forward-body back-body mid-7943.jpg,backhand,close,forward,body back,body mid
backhand-close-forward-body back-body mid-814.jpg,backhand,close,forward,body back,body mid
backhand-close-forward-body back-body mid-8553.jpg,backhand,close,forward,body back,body mid
backhand-close-forward-body back-body mid-8711.jpg,backhand,close,forward,body back,body mid
backhand-close-forward-body back-body mid-8904.jpg,backhand,close,forward,body back,body mid
backhand-close-forward-body back-body mid-9010.jpg,backhand,close,forward,body back,body mid
backhand-close-forward-body back-body mid-9316.jpg,backhand,close,forward,body back,body mid
backhand-close-forward-body back-body mid-9497.jpg,backhand,close,forward,body back,body mid
backhand-close-forward-body back-body mid-9835.jpg,backhand,close,forward,body back,body mid
backhand-close-forward-body mid-deuce mid-1118.jpg,backhand,close,forward,body mid,deuce mid
backhand-close-forward-body mid-deuce mid-1339.jpg,backhand,close,forward,body mid,deuce mid
backhand-close-forward-body mid-deuce mid-1520.jpg,backhand,close,forward,body mid,deuce mid
backhand-close-forward-body mid-deuce mid-1965.jpg,backhand,close,forward,body mid,deuce mid
backhand-close-forward-body mid-deuce mid-2477.jpg,backhand,close,forward,body mid,deuce mid
backhand-close-forward-body mid-deuce mid-3307.jpg,backhand,close,forward,body mid,deuce mid
backhand-close-forward-body mid-deuce mid-3422.jpg,backhand,close,forward,body mid,deuce mid
backhand-close-forward-body mid-deuce mid-3455.jpg,backhand,close,forward,body mid,deuce mid
backhand-close-forward-body mid-deuce mid-3505.jpg,backhand,close,forward,body mid,deuce mid
backhand-close-forward-body mid-deuce mid-3510.jpg,backhand,close,forward,body mid,deuce mid
backhand-close-forward-body mid-deuce mid-3749.jpg,backhand,close,forward,body mid,deuce mid
backhand-close-forward-body mid-deuce mid-3917.jpg,backhand,close,forward,body mid,deuce mid
backhand-close-forward-body mid-deuce mid-4567.jpg,backhand,close,forward,body mid,deuce mid
backhand-close-forward-body mid-deuce mid-5039.jpg,backhand,close,forward,body mid,deuce mid
backhand-close-forward-body mid-deuce mid-5073.jpg,backhand,close,forward,body mid,deuce mid
backhand-close-forward-body mid-deuce mid-5089.jpg,backhand,close,forward,body mid,deuce mid
backhand-close-forward-body mid-deuce mid-523.jpg,backhand,close,forward,body mid,deuce mid
backhand-close-forward-body mid-deuce mid-5348.jpg,backhand,close,forward,body mid,deuce mid
backhand-close-forward-body mid-deuce mid-5739.jpg,backhand,close,forward,body mid,deuce mid
backhand-close-forward-body mid-deuce mid-6431.jpg,backhand,close,forward,body mid,deuce mid
backhand-close-forward-body mid-deuce mid-6496.jpg,backhand,close,forward,body mid,deuce mid
backhand-close-forward-body mid-deuce mid-6804.jpg,backhand,close,forward,body mid,deuce mid
backhand-close-forward-body mid-deuce mid-6942.jpg,backhand,close,forward,body mid,deuce mid
backhand-close-forward-body mid-deuce mid-8226.jpg,backhand,close,forward,body mid,deuce mid
backhand-close-forward-body mid-deuce mid-9165.jpg,backhand,close,forward,body mid,deuce mid
backhand-close-forward-body mid-deuce mid-9293.jpg,backhand,close,forward,body mid,deuce mid
backhand-close-forward-body mid-deuce mid-9494.jpg,backhand,close,forward,body mid,deuce mid
backhand-close-forward-body mid-deuce mid-9550.jpg,backhand,close,forward,body mid,deuce mid
backhand-close-forward-body mid-deuce mid-9599.jpg,backhand,close,forward,body mid,deuce mid
backhand-close-forward-body mid-deuce mid-9793.jpg,backhand,close,forward,body mid,deuce mid
backhand-open-backward-ad back-ad deep-2494.jpg,backhand,open,backward,ad back,ad deep
backhand-open-backward-ad back-ad deep-3248.jpg,backhand,open,backward,ad back,ad deep
backhand-open-backward-ad back-ad deep-3480.jpg,backhand,open,backward,ad back,ad deep
backhand-open-backward-ad back-ad deep-3526.jpg,backhand,open,backward,ad back,ad deep
backhand-open-backward-ad back-ad deep-4236.jpg,backhand,open,backward,ad back,ad deep
backhand-open-backward-ad back-ad deep-4406.jpg,backhand,open,backward,ad back,ad deep
backhand-open-backward-ad back-ad deep-4676.jpg,backhand,open,backward,ad back,ad deep
backhand-open-backward-ad back-ad deep-4758.jpg,backhand,open,backward,ad back,ad deep
backhand-open-backward-ad back-ad deep-4860.jpg,backhand,open,backward,ad back,ad deep
backhand-open-backward-ad back-ad deep-5170.jpg,backhand,open,backward,ad back,ad deep
backhand-open-backward-ad back-ad deep-5607.jpg,backhand,open,backward,ad back,ad deep
backhand-open-backward-ad back-ad deep-6064.jpg,backhand,open,backward,ad back,ad deep
backhand-open-backward-ad back-ad deep-6178.jpg,backhand,open,backward,ad back,ad deep
backhand-open-backward-ad back-ad deep-6199.jpg,backhand,open,backward,ad back,ad deep
backhand-open-backward-ad back-ad deep-6296.jpg,backhand,open,backward,ad back,ad deep
backhand-open-backward-ad back-ad deep-7435.jpg,backhand,open,backward,ad back,ad deep
backhand-open-backward-ad back-ad deep-7805.jpg,backhand,open,backward,ad back,ad deep
backhand-open-backward-ad back-ad deep-8081.jpg,backhand,open,backward,ad back,ad deep
backhand-open-backward-ad back-ad deep-8139.jpg,backhand,open,backward,ad back,ad deep
backhand-open-backward-ad back-ad deep-9648.jpg,backhand,open,backward,ad back,ad deep
forehand-close-backward-body back-deuce deep-1632.jpg,forehand,close,backward,body back,deuce deep
forehand-close-backward-body back-deuce deep-1957.jpg,forehand,close,backward,body back,deuce deep
forehand-close-backward-body back-deuce deep-3024.jpg,forehand,close,backward,body back,deuce deep
